time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-02-12T08:54:04.467Z,35.1786,142.3271,10,4.7,mb,96,101,2.929,0.45,us,us7000lyl1,2024-04-24T14:42:00.040Z,"148 km ESE of Hasaki, Japan",earthquake,7.44,1.818,0.06,86,reviewed,us,us
2024-02-11T02:25:46.002Z,36.1517,139.9724,80.665,4.1,mb,27,134,1.476,0.85,us,us7000lzg2,2024-04-20T19:35:27.040Z,"3 km N of Ishige, Japan",earthquake,6.42,7.361,0.151,12,reviewed,us,us
2024-02-10T07:47:34.813Z,36.3359,140.0263,89.815,4.4,mb,50,127,1.48,0.86,us,us7000ly8i,2024-04-20T19:35:04.040Z,"4 km ENE of Chikusei, Japan",earthquake,8.11,3.838,0.094,33,reviewed,us,us
2024-02-09T14:40:48.908Z,35.9324,139.7621,91.111,4.4,mb,69,126,1.395,0.77,us,us7000lxzv,2024-04-20T19:34:40.040Z,"4 km WNW of Matsubushi, Japan",earthquake,6.58,6.914,0.081,44,reviewed,us,us
2024-02-09T08:42:33.870Z,34.9465,139.1653,167.587,4.5,mb,112,113,1.772,0.91,us,us7000lxy8,2024-04-20T19:34:32.040Z,"7 km ESE of Itō, Japan",earthquake,7.39,6.671,0.058,88,reviewed,us,us
2024-02-07T18:08:02.859Z,33.5208,140.2812,96.115,4,mb,23,172,0.563,0.74,us,us7000lyqv,2024-04-20T19:33:53.040Z,"166 km SSE of Tateyama, Japan",earthquake,7.2,6.606,0.183,8,reviewed,us,us
2024-02-07T08:09:38.251Z,35.9834,140.0954,83.513,4.4,mb,26,152,1.623,0.52,us,us7000lyqe,2024-04-20T19:33:44.040Z,"3 km WNW of Ushiku, Japan",earthquake,6.87,4.713,0.218,6,reviewed,us,us
2024-02-06T07:05:17.310Z,34.529,141.8108,26.055,4.4,mb,53,119,2.18,0.75,us,us7000lx9k,2024-04-20T19:33:20.040Z,"151 km ESE of Shinmachi, Japan",earthquake,8.23,4.63,0.12,23,reviewed,us,us
2024-02-04T06:01:04.776Z,35.2154,139.8176,90.741,4.1,mb,14,203,1.859,0.47,us,us7000lxtg,2024-04-13T19:37:18.040Z,"10 km S of Futtsu, Japan",earthquake,6.29,10.876,0.37,2,reviewed,us,us
2024-02-03T06:09:04.775Z,35.5119,139.0722,24.057,4.2,mb,17,130,1.243,0.66,us,us7000lxrj,2024-04-13T19:35:59.040Z,"12 km SSW of Uenohara, Japan",earthquake,4.79,6.583,0.215,6,reviewed,us,us
